Date,Country,City,Street,Location,Avg Reliability
6 may 2025,MX,Zapopan,Av. Patria,Point(-103.419317 20.689139),5
6 may 2025,MX,Guadalajara,Av. de las Américas,Point(-103.379791 20.710484),5
6 may 2025,MX,Guadalajara,Av. Artesanos,Point(-103.294386 20.686566),5
6 may 2025,MX,Guadalajara,Av. 8 de Julio,Point(-103.373467 20.618708),6
6 may 2025,MX,Tlaquepaque,Periférico Sur Manuel Gómez Morín,Point(-103.366461 20.578767),5
6 may 2025,MX,Zapopan,Puerto Vallarta / Colima,Point(-103.418389 20.724381),6
6 may 2025,MX,Guadalajara,Paseo Loma Ancha,Point(-103.399461 20.697028),5
6 may 2025,MX,Guadalajara,Doctor R. Michel,Point(-103.324741 20.628162),5
6 may 2025,MX,Guadalajara,Av. Mariano Otero,Point(-103.376466 20.663421),5
6 may 2025,MX,Zapopan,Lateral,Point(-103.428358 20.616212),5
6 may 2025,MX,Zapopan,Lateral Periférico Nte. Manuel Gómez Morín,Point(-103.420677 20.722801),6
6 may 2025,MX,Guadalajara,Valentín Gómez Farías,Point(-103.330335 20.668983),5
6 may 2025,MX,Zapopan,Av. Aviación,Point(-103.449886 20.736746),5
6 may 2025,MX,Tlaquepaque,Aeropuerto,Point(-103.32225 20.58923),5
6 may 2025,MX,Tlaquepaque,Carriles Centrales,Point(-103.318584 20.623649),5
6 may 2025,MX,Guadalajara,Esteban Huerta,Point(-103.282421 20.676383),5
6 may 2025,MX,Zapopan,Av. Aviación,Point(-103.450097 20.735608),5
6 may 2025,MX,Zapopan,Paseo de los Emperadores,Point(-103.430356 20.787633),6
6 may 2025,MX,Guadalajara,Estadio,Point(-103.347383 20.663236),9
6 may 2025,MX,Zapopan,Lateral Periférico Pte. Manuel Gómez Morín,Point(-103.455838 20.689871),5
6 may 2025,MX,Guadalajara,Calz. Lázaro Cárdenas,Point(-103.344434 20.638129),5
6 may 2025,MX,Zapopan,Av. Ignacio L. Vallarta,Point(-103.436027 20.681959),5
6 may 2025,MX,Guadalajara,Circunvalación de Oblatos,Point(-103.322686 20.693826),5
6 may 2025,MX,Tlaquepaque,Periférico Sur Manuel Gómez Morín,Point(-103.399885 20.605365),10
6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,Point(-103.449294 20.662746),5
6 may 2025,MX,Guadalajara,Calz. del Federalismo Norte,Point(-103.354226 20.681266),5
6 may 2025,MX,Guadalajara,Av. Belisario Domínguez,Point(-103.329726 20.674827),5
6 may 2025,MX,Guadalajara,Av. Niños Héroes,Point(-103.371424 20.666897),7
6 may 2025,MX,Tlaquepaque,Juan de la Barrera,Point(-103.339254 20.608631),5
6 may 2025,MX,Zapopan,Av. Patria,Point(-103.392218 20.710392),6
6 may 2025,MX,Zapopan,Av. Acueducto,Point(-103.406554 20.709001),6
6 may 2025,MX,Tlaquepaque,Carriles Centrales,Point(-103.346268 20.576937),5
6 may 2025,MX,Zapopan,Lateral Periférico Nte. Manuel Gómez Morín,Point(-103.376418 20.737502),5
6 may 2025,MX,Guadalajara,Lateral Periférico Norte Manuel Gómez Morín,Point(-103.297701 20.712324),6
6 may 2025,MX,Zapopan,Lateral Av. López Mateos Sur,Point(-103.414281 20.634063),10
6 may 2025,MX,Zapopan,Av. Patria,Point(-103.415991 20.690083),5
6 may 2025,MX,Tlaquepaque,Independencia,Point(-103.404353 20.601664),5
6 may 2025,MX,Zapopan,Av. Mariano Otero,Point(-103.428816 20.632298),6
6 may 2025,MX,Guadalajara,Av. Juan Palomar y Arias,Point(-103.393257 20.686486),5
6 may 2025,MX,Zapopan,Av. Aviación,Point(-103.457858 20.70989),5
6 may 2025,MX,Zapopan,Río Tepalcatepec,Point(-103.415259 20.623428),5
6 may 2025,MX,Zapopan,Av. Juan Pablo II,Point(-103.385783 20.719183),5
6 may 2025,MX,Zapopan,Av. Juan Gil Preciado,Point(-103.43441 20.760746),8
6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,Point(-103.454407 20.672107),5
