,Date,Country,City,Street,Latitude,Longitude
0,6 may 2025,MX,Zapopan,Av. Patria,20.689139,-103.419317
1,6 may 2025,MX,Guadalajara,Av. de las Américas,20.710484,-103.379791
2,6 may 2025,MX,Guadalajara,Av. Artesanos,20.686566,-103.294386
3,6 may 2025,MX,Guadalajara,Av. 8 de Julio,20.618708,-103.373467
4,6 may 2025,MX,Tlaquepaque,Periférico Sur Manuel Gómez Morín,20.578767,-103.366461
5,6 may 2025,MX,Zapopan,Puerto Vallarta / Colima,20.724381,-103.418389
6,6 may 2025,MX,Guadalajara,Paseo Loma Ancha,20.697028,-103.399461
7,6 may 2025,MX,Guadalajara,Doctor R. Michel,20.628162,-103.324741
8,6 may 2025,MX,Guadalajara,Av. Mariano Otero,20.663421,-103.376466
9,6 may 2025,MX,Zapopan,Lateral,20.616212,-103.428358
10,6 may 2025,MX,Zapopan,Lateral Periférico Nte. Manuel Gómez Morín,20.722801,-103.420677
11,6 may 2025,MX,Guadalajara,Valentín Gómez Farías,20.668983,-103.330335
12,6 may 2025,MX,Zapopan,Av. Aviación,20.736746,-103.449886
13,6 may 2025,MX,Tlaquepaque,Aeropuerto,20.58923,-103.32225
14,6 may 2025,MX,Tlaquepaque,Carriles Centrales,20.623649,-103.318584
15,6 may 2025,MX,Guadalajara,Esteban Huerta,20.676383,-103.282421
16,6 may 2025,MX,Zapopan,Av. Aviación,20.735608,-103.450097
17,6 may 2025,MX,Zapopan,Paseo de los Emperadores,20.787633,-103.430356
18,6 may 2025,MX,Guadalajara,Estadio,20.663236,-103.347383
19,6 may 2025,MX,Zapopan,Lateral Periférico Pte. Manuel Gómez Morín,20.689871,-103.455838
20,6 may 2025,MX,Guadalajara,Calz. Lázaro Cárdenas,20.638129,-103.344434
21,6 may 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.681959,-103.436027
22,6 may 2025,MX,Guadalajara,Circunvalación de Oblatos,20.693826,-103.322686
23,6 may 2025,MX,Tlaquepaque,Periférico Sur Manuel Gómez Morín,20.605365,-103.399885
24,6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.662746,-103.449294
25,6 may 2025,MX,Guadalajara,Calz. del Federalismo Norte,20.681266,-103.354226
26,6 may 2025,MX,Guadalajara,Av. Belisario Domínguez,20.674827,-103.329726
27,6 may 2025,MX,Guadalajara,Av. Niños Héroes,20.666897,-103.371424
28,6 may 2025,MX,Tlaquepaque,Juan de la Barrera,20.608631,-103.339254
29,6 may 2025,MX,Zapopan,Av. Patria,20.710392,-103.392218
30,6 may 2025,MX,Zapopan,Av. Acueducto,20.709001,-103.406554
31,6 may 2025,MX,Tlaquepaque,Carriles Centrales,20.576937,-103.346268
32,6 may 2025,MX,Zapopan,Lateral Periférico Nte. Manuel Gómez Morín,20.737502,-103.376418
33,6 may 2025,MX,Guadalajara,Lateral Periférico Norte Manuel Gómez Morín,20.712324,-103.297701
34,6 may 2025,MX,Zapopan,Lateral Av. López Mateos Sur,20.634063,-103.414281
35,6 may 2025,MX,Zapopan,Av. Patria,20.690083,-103.415991
36,6 may 2025,MX,Tlaquepaque,Independencia,20.601664,-103.404353
37,6 may 2025,MX,Zapopan,Av. Mariano Otero,20.632298,-103.428816
38,6 may 2025,MX,Guadalajara,Av. Juan Palomar y Arias,20.686486,-103.393257
39,6 may 2025,MX,Zapopan,Av. Aviación,20.70989,-103.457858
40,6 may 2025,MX,Zapopan,Río Tepalcatepec,20.623428,-103.415259
41,6 may 2025,MX,Zapopan,Av. Juan Pablo II,20.719183,-103.385783
42,6 may 2025,MX,Zapopan,Av. Juan Gil Preciado,20.760746,-103.43441
43,6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.672107,-103.454407
44,6 may 2025,MX,Guadalajara,Periférico Nte. Manuel Gómez Morín,20.712582,-103.293865
45,6 may 2025,MX,Guadalajara,Av. González Gallo Izquierda,20.640935,-103.330055
46,6 may 2025,MX,Zapopan,Av. Mariano Otero,20.643274,-103.411669
47,6 may 2025,MX,Zapopan,Av. Inglaterra,20.699459,-103.45276
48,6 may 2025,MX,Guadalajara,Av. Historiadores,20.64828,-103.294729
49,6 may 2025,MX,Tlaquepaque,Av. Francisco Silva Romero,20.637021,-103.299452
50,6 may 2025,MX,Guadalajara,Av. de las Américas,20.709869,-103.379233
51,6 may 2025,MX,Zapopan,Av. Patria,20.656947,-103.423225
52,6 may 2025,MX,Guadalajara,Av. Miguel Hidalgo y Costilla,20.677209,-103.353604
53,6 may 2025,MX,Guadalajara,Abascal y Souza,20.683325,-103.336004
54,6 may 2025,MX,Zapopan,Av. Manuel J. Clouthier / Av. Guadalupe,20.677909,-103.41378
55,6 may 2025,MX,Guadalajara,Julio Zárate,20.662837,-103.299595
56,6 may 2025,MX,Tlaquepaque,Calz. Lázaro Cárdenas,20.624189,-103.307901
57,6 may 2025,MX,Zapopan,Av. Mariano Otero,20.648478,-103.402855
58,6 may 2025,MX,Guadalajara,Av. Enrique Díaz de León Sur,20.66425,-103.35973
59,6 may 2025,MX,Tlaquepaque,Camino Real Agua Amarilla,20.565803,-103.381075
60,6 may 2025,MX,Tlaquepaque,Periférico Sur Manuel Gómez Morín,20.607301,-103.402966
61,6 may 2025,MX,Zapopan,Av. Patria,20.711865,-103.398543
62,6 may 2025,MX,Tlaquepaque,Av. Francisco Silva Romero,20.633134,-103.297018
63,6 may 2025,MX,Guadalajara,Luis Pérez Verdía,20.68124,-103.377274
64,6 may 2025,MX,Guadalajara,Av. de las Américas,20.706879,-103.377164
65,6 may 2025,MX,Tlaquepaque,Calz. Lázaro Cárdenas,20.626419,-103.329441
66,6 may 2025,MX,Zapopan,Av. Manuel Ávila Camacho,20.712341,-103.375346
67,6 may 2025,MX,Tlaquepaque,Calz. Lázaro Cárdenas,20.62507,-103.326999
68,6 may 2025,MX,Zapopan,Av. Patria,20.691979,-103.415328
69,6 may 2025,MX,Tlaquepaque,Calz. Lázaro Cárdenas,20.626007,-103.328811
70,6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.614838,-103.427045
71,6 may 2025,MX,Zapopan,Av. Patria,20.685879,-103.420388
72,6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.627734,-103.434635
73,6 may 2025,MX,Zapopan,Paseo Solares,20.726325,-103.461314
74,6 may 2025,MX,Zapopan,Av. Mariano Otero,20.64629,-103.406766
75,6 may 2025,MX,Zapopan,Adolfo Ruiz Cortines,20.60534,-103.435508
76,6 may 2025,MX,Zapopan,Av. Patria,20.648997,-103.422453
77,6 may 2025,MX,Guadalajara,Lateral Periférico Nte. Manuel Gómez Morín,20.723348,-103.330542
78,6 may 2025,MX,Guadalajara,Av. Montevideo,20.691986,-103.398646
79,6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.678565,-103.455259
80,6 may 2025,MX,Zapopan,Santa Catalina,20.726907,-103.419767
81,6 may 2025,MX,Guadalajara,Av. Cristóbal Colón,20.625883,-103.385587
82,6 may 2025,MX,Zapopan,Av. López Mateos Sur,20.6513,-103.402711
83,6 may 2025,MX,Zapopan,Av. Patria,20.713855,-103.359614
84,6 may 2025,MX,Tlaquepaque,,20.609164,-103.403591
85,6 may 2025,MX,Tlaquepaque,Lateral Periférico Sur Manuel Gómez Morín,20.578209,-103.364013
86,6 may 2025,MX,Guadalajara,Otranto,20.690598,-103.377054
87,6 may 2025,MX,Guadalajara,Av. de las Américas,20.707221,-103.377321
88,6 may 2025,MX,Guadalajara,Av. Fray Antonio Alcalde,20.715034,-103.345907
89,6 may 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.676549,-103.410682
90,6 may 2025,MX,Zapopan,Av. Tesistán,20.729849,-103.402802
91,6 may 2025,MX,Guadalajara,Belén,20.6852,-103.34549
92,6 may 2025,MX,Tlaquepaque,Av. Niños Héroes,20.638679,-103.316668
93,6 may 2025,MX,Zapopan,Av. Juan Palomar y Arias,20.718138,-103.425395
94,6 may 2025,MX,Tlaquepaque,Periférico Sur Manuel Gómez Morín,20.596299,-103.39047
95,6 may 2025,MX,Zapopan,Lateral Periférico Pte. Manuel Gómez Morín,20.677558,-103.454868
96,6 may 2025,MX,Guadalajara,Av. López Mateos Norte,20.685712,-103.379903
97,6 may 2025,MX,Zapopan,Av. Industria Textil,20.743787,-103.391549
98,6 may 2025,MX,Zapopan,Av. Juan Pablo II,20.735688,-103.399762
99,6 may 2025,MX,Zapopan,Carretera a Saltillo,20.74818,-103.343101
100,6 may 2025,MX,Zapopan,Periférico Nte. Manuel Gómez Morín,20.739708,-103.383958
101,6 may 2025,MX,Zapopan,Lateral Periférico Nte. Manuel Gómez Morín,20.728704,-103.346381
102,6 may 2025,MX,Guadalajara,Fray Andrés de Urdaneta,20.64597,-103.37941
103,6 may 2025,MX,Zapopan,Av. Hidalgo,20.72118,-103.388146
104,6 may 2025,MX,Zapopan,Av. General Ramón Corona,20.731409,-103.454186
105,6 may 2025,MX,Guadalajara,Av. 8 de Julio,20.624026,-103.371145
106,6 may 2025,MX,Guadalajara,Av. Jesús Michel González,20.614466,-103.374717
107,6 may 2025,MX,Tlaquepaque,Periférico Sur Manuel Gómez Morín,20.587337,-103.32725
108,6 may 2025,MX,Guadalajara,Av. Jesús Michel González,20.617378,-103.373879
109,6 may 2025,MX,Zapopan,,20.720928,-103.42293
110,6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.71226,-103.435359
111,6 may 2025,MX,Tlaquepaque,Juan de la Barrera,20.604232,-103.336883
112,6 may 2025,MX,Zapopan,Av. Cuauhtémoc,20.650606,-103.408019
113,6 may 2025,MX,Zapopan,Av. López Mateos Sur,20.641905,-103.408975
114,6 may 2025,MX,Zapopan,Av. Acueducto,20.734749,-103.423673
115,6 may 2025,MX,Zapopan,Av. Patria,20.714024,-103.371026
116,6 may 2025,MX,Zapopan,Av. Tesistán,20.739755,-103.414267
117,6 may 2025,MX,Tlaquepaque,Av. Jesús Michel González,20.587811,-103.383948
118,6 may 2025,MX,Guadalajara,Av. Cruz del Sur,20.653209,-103.372087
119,6 may 2025,MX,Tlaquepaque,Carretera a Los Altos,20.619528,-103.287413
120,6 may 2025,MX,Zapopan,Av. Patria,20.640751,-103.41988
121,6 may 2025,MX,Guadalajara,Río Mascota,20.646532,-103.329098
122,6 may 2025,MX,Guadalajara,Siete Colinas,20.70833,-103.326805
123,6 may 2025,MX,Zapopan,Av. Zoquipan,20.717047,-103.366074
124,6 may 2025,MX,Tlaquepaque,Juárez,20.558099,-103.441765
125,6 may 2025,MX,Tlaquepaque,Av. Magallanes,20.561267,-103.441808
126,6 may 2025,MX,Zapopan,Paseo Solares,20.725645,-103.457134
127,6 may 2025,MX,Zapopan,Av. Juan Palomar y Arias,20.706948,-103.426734
128,6 may 2025,MX,Tlaquepaque,Av. Jesús Michel González,20.577678,-103.388286
129,6 may 2025,MX,Zapopan,Av. José Parres Arias,20.730162,-103.387624
130,6 may 2025,MX,Zapopan,Lateral Av. Mariano Otero,20.649476,-103.40137
