Day,Road Type,# Accidents
1 ene 2024,3,219
1 ene 2024,6,125
1 ene 2024,7,502
1 ene 2024,1,234
1 ene 2024,4,46
1 ene 2024,2,370
1 ene 2024,20,7
2 ene 2024,4,67
2 ene 2024,3,519
2 ene 2024,6,300
2 ene 2024,7,1041
2 ene 2024,17,2
2 ene 2024,2,638
2 ene 2024,1,287
2 ene 2024,20,5
3 ene 2024,17,1
3 ene 2024,7,1884
3 ene 2024,4,119
3 ene 2024,3,861
3 ene 2024,20,9
3 ene 2024,6,412
3 ene 2024,1,481
3 ene 2024,2,838
4 ene 2024,2,1100
4 ene 2024,17,7
4 ene 2024,1,536
4 ene 2024,6,558
4 ene 2024,20,20
4 ene 2024,4,180
4 ene 2024,3,1049
4 ene 2024,7,2214
5 ene 2024,1,622
5 ene 2024,2,1399
5 ene 2024,20,20
5 ene 2024,7,2564
5 ene 2024,6,601
5 ene 2024,3,1063
5 ene 2024,17,3
5 ene 2024,4,232
6 ene 2024,6,611
6 ene 2024,5,1
6 ene 2024,1,562
6 ene 2024,4,209
6 ene 2024,20,16
6 ene 2024,2,1418
6 ene 2024,7,2360
6 ene 2024,3,958
6 ene 2024,17,2
7 ene 2024,1,313
7 ene 2024,4,59
7 ene 2024,3,266
7 ene 2024,7,828
7 ene 2024,17,3
7 ene 2024,2,656
7 ene 2024,20,10
7 ene 2024,6,236
8 ene 2024,17,4
8 ene 2024,20,18
8 ene 2024,2,1320
8 ene 2024,6,485
8 ene 2024,1,592
8 ene 2024,3,886
8 ene 2024,4,194
8 ene 2024,7,2244
8 ene 2024,5,1
9 ene 2024,17,3
9 ene 2024,2,1910
9 ene 2024,3,1056
9 ene 2024,5,1
9 ene 2024,20,14
9 ene 2024,1,1023
9 ene 2024,6,652
9 ene 2024,4,307
9 ene 2024,7,3444
10 ene 2024,7,3036
10 ene 2024,4,319
10 ene 2024,17,10
10 ene 2024,3,1191
10 ene 2024,2,1774
10 ene 2024,6,631
10 ene 2024,1,784
10 ene 2024,20,15
11 ene 2024,1,818
11 ene 2024,3,1132
11 ene 2024,6,663
11 ene 2024,2,1761
11 ene 2024,20,16
11 ene 2024,17,8
11 ene 2024,7,3054
11 ene 2024,4,266
11 ene 2024,5,1
12 ene 2024,2,1997
12 ene 2024,4,274
12 ene 2024,20,20
12 ene 2024,3,1264
12 ene 2024,6,727
12 ene 2024,17,6
12 ene 2024,1,879
12 ene 2024,7,3484
13 ene 2024,17,4
13 ene 2024,7,2662
13 ene 2024,6,687
13 ene 2024,2,1603
13 ene 2024,20,13
13 ene 2024,4,245
13 ene 2024,1,672
13 ene 2024,3,1285
13 ene 2024,5,1
14 ene 2024,3,324
14 ene 2024,5,1
14 ene 2024,20,10
14 ene 2024,4,75
14 ene 2024,7,894
14 ene 2024,6,235
14 ene 2024,17,4
14 ene 2024,2,694
14 ene 2024,1,311
15 ene 2024,6,603
15 ene 2024,17,10
15 ene 2024,7,2874
15 ene 2024,5,2
15 ene 2024,2,1629
15 ene 2024,20,24
15 ene 2024,1,725
15 ene 2024,3,878
15 ene 2024,4,222
16 ene 2024,6,801
16 ene 2024,4,352
16 ene 2024,3,1305
16 ene 2024,2,2253
16 ene 2024,17,10
16 ene 2024,1,992
16 ene 2024,20,21
16 ene 2024,7,3740
17 ene 2024,3,1257
17 ene 2024,4,331
17 ene 2024,2,2443
17 ene 2024,20,24
17 ene 2024,1,1012
17 ene 2024,6,767
17 ene 2024,17,15
17 ene 2024,7,3984
18 ene 2024,7,3550
18 ene 2024,4,285
18 ene 2024,6,652
18 ene 2024,3,1188
18 ene 2024,20,20
18 ene 2024,1,916
18 ene 2024,17,3
18 ene 2024,2,2246
19 ene 2024,6,825
19 ene 2024,20,24
19 ene 2024,7,4026
19 ene 2024,1,1019
19 ene 2024,17,8
19 ene 2024,2,2290
19 ene 2024,3,1233
19 ene 2024,4,307
20 ene 2024,7,3103
20 ene 2024,20,23
20 ene 2024,1,747
20 ene 2024,17,7
20 ene 2024,3,1147
20 ene 2024,6,698
20 ene 2024,2,1650
20 ene 2024,4,238
21 ene 2024,3,401
21 ene 2024,20,14
21 ene 2024,17,1
21 ene 2024,6,277
21 ene 2024,1,398
21 ene 2024,4,91
21 ene 2024,2,783
21 ene 2024,7,991
22 ene 2024,3,929
22 ene 2024,7,2660
22 ene 2024,4,222
22 ene 2024,5,2
22 ene 2024,6,522
22 ene 2024,2,1684
22 ene 2024,20,10
22 ene 2024,1,678
22 ene 2024,17,8
23 ene 2024,3,1232
23 ene 2024,5,1
23 ene 2024,6,696
23 ene 2024,1,804
23 ene 2024,2,2235
23 ene 2024,4,315
23 ene 2024,20,20
23 ene 2024,17,11
23 ene 2024,7,3501
24 ene 2024,20,20
24 ene 2024,17,13
24 ene 2024,1,936
24 ene 2024,3,1248
24 ene 2024,6,788
24 ene 2024,2,2250
24 ene 2024,4,330
24 ene 2024,5,2
24 ene 2024,7,3648
25 ene 2024,1,819
25 ene 2024,4,303
25 ene 2024,7,3329
25 ene 2024,3,1131
25 ene 2024,2,2130
25 ene 2024,17,7
25 ene 2024,6,834
25 ene 2024,20,9
26 ene 2024,20,14
26 ene 2024,4,297
26 ene 2024,6,825
26 ene 2024,17,14
26 ene 2024,1,902
26 ene 2024,2,1959
26 ene 2024,3,1394
26 ene 2024,7,3659
27 ene 2024,6,656
27 ene 2024,7,2836
27 ene 2024,2,1629
27 ene 2024,17,4
27 ene 2024,4,253
27 ene 2024,20,11
27 ene 2024,1,692
27 ene 2024,3,1365
28 ene 2024,7,1019
28 ene 2024,20,8
28 ene 2024,17,3
28 ene 2024,1,289
28 ene 2024,3,410
28 ene 2024,4,101
28 ene 2024,6,212
28 ene 2024,2,683
29 ene 2024,4,222
29 ene 2024,3,853
29 ene 2024,6,566
29 ene 2024,7,2459
29 ene 2024,1,591
29 ene 2024,17,6
29 ene 2024,2,1641
29 ene 2024,20,15
30 ene 2024,2,2125
30 ene 2024,4,315
30 ene 2024,6,713
30 ene 2024,1,879
30 ene 2024,20,27
30 ene 2024,7,3391
30 ene 2024,17,8
30 ene 2024,3,1223
31 ene 2024,7,3853
31 ene 2024,3,1352
31 ene 2024,2,2371
31 ene 2024,5,1
31 ene 2024,4,333
31 ene 2024,17,12
31 ene 2024,20,22
31 ene 2024,1,1016
31 ene 2024,6,728
1 feb 2024,3,1297
1 feb 2024,4,340
1 feb 2024,2,2264
1 feb 2024,7,3646
1 feb 2024,1,926
1 feb 2024,17,4
1 feb 2024,6,688
1 feb 2024,20,13
2 feb 2024,3,1489
2 feb 2024,17,5
2 feb 2024,2,2731
2 feb 2024,7,4436
2 feb 2024,1,1091
2 feb 2024,10,1
2 feb 2024,5,1
2 feb 2024,4,410
2 feb 2024,20,20
2 feb 2024,6,832
3 feb 2024,1,674
3 feb 2024,7,2776
3 feb 2024,20,17
3 feb 2024,6,617
3 feb 2024,2,1734
3 feb 2024,17,3
3 feb 2024,4,246
3 feb 2024,3,1224
4 feb 2024,4,66
4 feb 2024,17,1
4 feb 2024,7,926
4 feb 2024,20,13
4 feb 2024,6,216
4 feb 2024,3,291
4 feb 2024,2,557
4 feb 2024,1,317
5 feb 2024,6,155
5 feb 2024,4,52
5 feb 2024,1,274
5 feb 2024,3,216
5 feb 2024,17,3
5 feb 2024,7,754
5 feb 2024,2,467
5 feb 2024,20,13
6 feb 2024,7,3017
6 feb 2024,3,1151
6 feb 2024,6,700
6 feb 2024,2,1855
6 feb 2024,1,759
6 feb 2024,4,264
6 feb 2024,20,13
6 feb 2024,5,2
6 feb 2024,17,6
7 feb 2024,6,818
7 feb 2024,1,1116
7 feb 2024,2,2624
7 feb 2024,4,365
7 feb 2024,17,6
7 feb 2024,20,17
7 feb 2024,7,3999
7 feb 2024,3,1423
8 feb 2024,1,1020
8 feb 2024,3,1263
8 feb 2024,20,24
8 feb 2024,17,6
8 feb 2024,2,2406
8 feb 2024,7,3892
8 feb 2024,5,2
8 feb 2024,4,330
8 feb 2024,6,832
9 feb 2024,5,1
9 feb 2024,4,351
9 feb 2024,20,27
9 feb 2024,6,832
9 feb 2024,7,4210
9 feb 2024,1,1147
9 feb 2024,2,2658
9 feb 2024,17,7
9 feb 2024,3,1568
10 feb 2024,3,1450
10 feb 2024,20,20
10 feb 2024,4,263
10 feb 2024,7,3309
10 feb 2024,17,8
10 feb 2024,6,737
10 feb 2024,1,939
10 feb 2024,2,1876
11 feb 2024,1,403
11 feb 2024,20,14
11 feb 2024,17,6
11 feb 2024,7,1149
11 feb 2024,3,353
11 feb 2024,5,1
11 feb 2024,2,863
11 feb 2024,4,82
11 feb 2024,6,318
12 feb 2024,4,262
12 feb 2024,6,606
12 feb 2024,1,669
12 feb 2024,3,1065
12 feb 2024,17,7
12 feb 2024,7,2822
12 feb 2024,2,1713
12 feb 2024,20,26
12 feb 2024,5,1
13 feb 2024,17,8
13 feb 2024,6,764
13 feb 2024,3,1446
13 feb 2024,2,2424
13 feb 2024,7,3842
13 feb 2024,4,337
13 feb 2024,1,913
13 feb 2024,20,26
14 feb 2024,5,2
14 feb 2024,20,37
14 feb 2024,1,1539
14 feb 2024,6,980
14 feb 2024,17,15
14 feb 2024,7,4856
14 feb 2024,4,457
14 feb 2024,3,1635
14 feb 2024,2,3180
15 feb 2024,10,1
15 feb 2024,7,4270
15 feb 2024,17,15
15 feb 2024,6,907
15 feb 2024,1,1328
15 feb 2024,4,398
15 feb 2024,2,2880
15 feb 2024,20,28
15 feb 2024,3,1395
16 feb 2024,17,12
16 feb 2024,20,53
16 feb 2024,4,492
16 feb 2024,2,3763
16 feb 2024,5,4
16 feb 2024,6,1149
16 feb 2024,3,2010
16 feb 2024,1,1729
16 feb 2024,7,5914
17 feb 2024,4,260
17 feb 2024,5,1
17 feb 2024,7,3609
17 feb 2024,6,790
17 feb 2024,20,23
17 feb 2024,1,1136
17 feb 2024,17,7
17 feb 2024,2,2172
17 feb 2024,3,1331
18 feb 2024,7,1263
18 feb 2024,5,1
18 feb 2024,20,15
18 feb 2024,6,357
18 feb 2024,10,1
18 feb 2024,1,491
18 feb 2024,2,868
18 feb 2024,17,7
18 feb 2024,3,352
18 feb 2024,4,72
19 feb 2024,5,1
19 feb 2024,4,275
19 feb 2024,17,10
19 feb 2024,3,1070
19 feb 2024,1,835
19 feb 2024,2,2046
19 feb 2024,6,719
19 feb 2024,20,19
19 feb 2024,7,3122
20 feb 2024,4,347
20 feb 2024,7,3709
20 feb 2024,20,25
20 feb 2024,3,1330
20 feb 2024,2,2499
20 feb 2024,6,850
20 feb 2024,17,7
20 feb 2024,1,1045
20 feb 2024,5,1
21 feb 2024,6,871
21 feb 2024,17,13
21 feb 2024,20,19
21 feb 2024,3,1401
21 feb 2024,10,1
21 feb 2024,2,2259
21 feb 2024,4,320
21 feb 2024,5,1
21 feb 2024,7,3646
21 feb 2024,1,939
22 feb 2024,20,30
22 feb 2024,1,1076
22 feb 2024,17,9
22 feb 2024,6,773
22 feb 2024,4,336
22 feb 2024,5,2
22 feb 2024,7,3554
22 feb 2024,2,2355
22 feb 2024,3,1484
23 feb 2024,3,1659
23 feb 2024,20,27
23 feb 2024,5,1
23 feb 2024,10,1
23 feb 2024,7,4605
23 feb 2024,4,382
23 feb 2024,1,1146
23 feb 2024,2,2230
23 feb 2024,17,6
23 feb 2024,6,878
24 feb 2024,2,2033
24 feb 2024,20,25
24 feb 2024,4,328
24 feb 2024,1,1000
24 feb 2024,6,810
24 feb 2024,7,3796
24 feb 2024,17,13
24 feb 2024,10,1
24 feb 2024,3,1594
25 feb 2024,17,12
25 feb 2024,20,23
25 feb 2024,7,1307
25 feb 2024,4,96
25 feb 2024,6,332
25 feb 2024,2,851
25 feb 2024,3,519
25 feb 2024,1,498
26 feb 2024,4,28
26 feb 2024,1,137
26 feb 2024,3,116
26 feb 2024,7,314
26 feb 2024,20,3
26 feb 2024,17,4
26 feb 2024,2,202
26 feb 2024,6,108
29 feb 2024,20,15
29 feb 2024,2,2248
29 feb 2024,17,8
29 feb 2024,1,921
29 feb 2024,3,1200
29 feb 2024,6,724
29 feb 2024,4,282
29 feb 2024,7,3241
1 mar 2024,3,1635
1 mar 2024,6,1012
1 mar 2024,2,2654
1 mar 2024,5,2
1 mar 2024,20,19
1 mar 2024,10,1
1 mar 2024,4,413
1 mar 2024,7,4284
1 mar 2024,1,1223
1 mar 2024,17,12
2 mar 2024,20,38
2 mar 2024,4,256
2 mar 2024,7,3142
2 mar 2024,2,1741
2 mar 2024,17,6
2 mar 2024,1,832
2 mar 2024,3,1438
2 mar 2024,6,772
2 mar 2024,10,1
3 mar 2024,20,16
3 mar 2024,5,1
3 mar 2024,4,79
3 mar 2024,2,716
3 mar 2024,7,1036
3 mar 2024,3,356
3 mar 2024,6,342
3 mar 2024,1,400
3 mar 2024,17,6
4 mar 2024,4,230
4 mar 2024,6,713
4 mar 2024,3,1101
4 mar 2024,17,12
4 mar 2024,7,2688
4 mar 2024,2,1771
4 mar 2024,20,19
4 mar 2024,5,2
4 mar 2024,1,822
5 mar 2024,4,325
5 mar 2024,17,10
5 mar 2024,3,1315
5 mar 2024,1,968
5 mar 2024,2,2301
5 mar 2024,7,3385
5 mar 2024,6,715
5 mar 2024,20,31
6 mar 2024,1,1113
6 mar 2024,5,1
6 mar 2024,7,3799
6 mar 2024,4,341
6 mar 2024,20,23
6 mar 2024,3,1383
6 mar 2024,6,876
6 mar 2024,2,2489
6 mar 2024,17,13
7 mar 2024,3,1469
7 mar 2024,2,2387
7 mar 2024,17,8
7 mar 2024,6,731
7 mar 2024,10,1
7 mar 2024,1,1089
7 mar 2024,20,20
7 mar 2024,4,419
7 mar 2024,7,3777
8 mar 2024,3,1658
8 mar 2024,20,19
8 mar 2024,2,2544
8 mar 2024,6,859
8 mar 2024,4,361
8 mar 2024,1,1436
8 mar 2024,17,11
8 mar 2024,7,3939
9 mar 2024,3,1390
9 mar 2024,2,2015
9 mar 2024,20,20
9 mar 2024,17,4
9 mar 2024,4,295
9 mar 2024,6,748
9 mar 2024,7,3243
9 mar 2024,1,1272
10 mar 2024,6,332
10 mar 2024,3,432
10 mar 2024,2,667
10 mar 2024,5,1
10 mar 2024,7,918
10 mar 2024,20,9
10 mar 2024,4,77
10 mar 2024,17,5
10 mar 2024,1,394
11 mar 2024,17,10
11 mar 2024,3,1167
11 mar 2024,2,1849
11 mar 2024,20,24
11 mar 2024,1,827
11 mar 2024,10,1
11 mar 2024,5,2
11 mar 2024,7,2823
11 mar 2024,4,262
11 mar 2024,6,631
12 mar 2024,20,22
12 mar 2024,5,1
12 mar 2024,10,2
12 mar 2024,3,1332
12 mar 2024,4,306
12 mar 2024,1,998
12 mar 2024,17,12
12 mar 2024,7,3575
12 mar 2024,6,818
12 mar 2024,2,2339
13 mar 2024,6,750
13 mar 2024,7,3630
13 mar 2024,2,2295
13 mar 2024,1,1042
13 mar 2024,4,311
13 mar 2024,10,1
13 mar 2024,17,10
13 mar 2024,20,24
13 mar 2024,3,1349
14 mar 2024,20,24
14 mar 2024,17,7
14 mar 2024,2,2184
14 mar 2024,7,3575
14 mar 2024,1,998
14 mar 2024,6,693
14 mar 2024,3,1485
14 mar 2024,4,379
15 mar 2024,1,959
15 mar 2024,17,8
15 mar 2024,7,4142
15 mar 2024,5,3
15 mar 2024,4,371
15 mar 2024,2,2270
15 mar 2024,6,828
15 mar 2024,3,1662
15 mar 2024,20,25
16 mar 2024,1,803
16 mar 2024,2,1710
16 mar 2024,6,731
16 mar 2024,20,31
16 mar 2024,3,1441
16 mar 2024,7,3142
16 mar 2024,10,3
16 mar 2024,4,266
16 mar 2024,17,1
17 mar 2024,4,90
17 mar 2024,17,5
17 mar 2024,6,299
17 mar 2024,10,1
17 mar 2024,1,426
17 mar 2024,20,21
17 mar 2024,2,767
17 mar 2024,7,1124
17 mar 2024,3,403
18 mar 2024,17,2
18 mar 2024,20,15
18 mar 2024,3,314
18 mar 2024,1,345
18 mar 2024,7,890
18 mar 2024,2,593
18 mar 2024,10,1
18 mar 2024,6,217
18 mar 2024,4,83
19 mar 2024,3,1170
19 mar 2024,17,9
19 mar 2024,10,1
19 mar 2024,1,1058
19 mar 2024,6,684
19 mar 2024,7,3401
19 mar 2024,4,350
19 mar 2024,2,2336
19 mar 2024,20,20
20 mar 2024,5,1
20 mar 2024,6,891
20 mar 2024,17,11
20 mar 2024,1,1200
20 mar 2024,3,1579
20 mar 2024,10,1
20 mar 2024,20,22
20 mar 2024,2,2653
20 mar 2024,7,4072
20 mar 2024,4,396
21 mar 2024,4,352
21 mar 2024,5,1
21 mar 2024,20,27
21 mar 2024,1,1041
21 mar 2024,2,2395
21 mar 2024,17,5
21 mar 2024,7,3786
21 mar 2024,6,786
21 mar 2024,3,1438
22 mar 2024,3,1672
22 mar 2024,4,390
22 mar 2024,7,4118
22 mar 2024,20,20
22 mar 2024,6,820
22 mar 2024,17,6
22 mar 2024,5,1
22 mar 2024,2,2583
22 mar 2024,1,1081
23 mar 2024,6,717
23 mar 2024,10,2
23 mar 2024,3,1281
23 mar 2024,2,1626
23 mar 2024,7,2687
23 mar 2024,1,722
23 mar 2024,17,10
23 mar 2024,20,13
23 mar 2024,4,238
24 mar 2024,7,787
24 mar 2024,1,362
24 mar 2024,17,7
24 mar 2024,6,225
24 mar 2024,20,9
24 mar 2024,3,319
24 mar 2024,2,576
24 mar 2024,4,83
25 mar 2024,4,149
25 mar 2024,17,4
25 mar 2024,3,843
25 mar 2024,2,850
25 mar 2024,1,442
25 mar 2024,6,413
25 mar 2024,20,14
25 mar 2024,7,1483
26 mar 2024,3,1053
26 mar 2024,20,19
26 mar 2024,7,1957
26 mar 2024,17,5
26 mar 2024,5,1
26 mar 2024,4,192
26 mar 2024,1,454
26 mar 2024,2,1038
26 mar 2024,6,471
27 mar 2024,20,17
27 mar 2024,1,481
27 mar 2024,2,1062
27 mar 2024,3,1167
27 mar 2024,10,1
27 mar 2024,7,2059
27 mar 2024,6,577
27 mar 2024,4,220
27 mar 2024,17,8
28 mar 2024,17,4
28 mar 2024,6,394
