Date,Country,City,Street,Location,Avg Reliability
2 jun 2025,JM,null,Tucker Main Rd,Point(-77.902602 18.452924),5
2 jun 2025,JM,Kingston 10,Omara Rd,Point(-76.80889 18.00602),6
2 jun 2025,JM,null,A1 (W) - Nelson Mandela Highway,Point(-76.892716 18.012725),7
2 jun 2025,JM,Mandeville,Wint Rd,Point(-77.515192 18.041606),9
2 jun 2025,JM,null,Chesterfield Dr,Point(-76.837874 18.000956),6
2 jun 2025,JM,Kingston 6,Seymour Ave,Point(-76.773916 18.01305),5
2 jun 2025,JM,Liguanea,Munroe Rd,Point(-76.767536 18.017203),6
2 jun 2025,JM,null,T3 - Edward Seaga Highway,Point(-77.157057 18.356355),6
2 jun 2025,JM,Mandeville,Main St,Point(-77.50666 18.041556),5
2 jun 2025,JM,Kingston 10,Waterloo Rd,Point(-76.791914 18.015862),5
2 jun 2025,JM,null,T1 (W) - East West Hwy,Point(-77.192819 17.932264),9
2 jun 2025,JM,null,A1 (W) - Nelson Mandela Highway,Point(-76.858712 18.02585),6
2 jun 2025,JM,Santa Cruz,A2 - Santa Cruz Main St,Point(-77.696658 18.054377),5
2 jun 2025,JM,null,A1 (W) - Nelson Mandela Highway,Point(-76.881362 18.020414),5
2 jun 2025,JM,New Kingston,Dominica Dr,Point(-76.790252 18.006925),5
2 jun 2025,JM,Olympic Gardens,Brettford Ave,Point(-76.820927 18.018617),7
2 jun 2025,JM,null,Torrington Rd,Point(-76.791575 17.985204),5
2 jun 2025,JM,Cumberland (Portmore),Cumberland Blvd,Point(-76.884415 17.978831),10
2 jun 2025,JM,null,T2 Kingston - Portmore Toll Rd,Point(-76.833975 17.993826),9
2 jun 2025,JM,Albion,A4 - Grants Pen to Yallahs Rd,Point(-76.599743 17.88614),6
2 jun 2025,JM,Negril,A1 - Norman Manley Blvd,Point(-78.337058 18.34047),5
2 jun 2025,JM,null,Wellington Dr,Point(-76.759301 18.015439),5
2 jun 2025,JM,null,T1 (E) - East West Hwy,Point(-76.933603 17.977449),6
2 jun 2025,JM,Heartease (Manchester),Caledonia Road,Point(-77.476211 18.056303),9
