,Date,Country,City,Street,LATITUDE,LONGITUDE,Date_dt,Date_numeric
0,31 dic 2024,MX,Morelia,Aquiles Serdán,19.703822,-101.189788,2024-12-31,1735603200.0
1,31 dic 2024,MX,Morelia,,19.723927,-101.193368,2024-12-31,1735603200.0
2,31 dic 2024,MX,Morelia,Periférico Paseo de la República (Sector Revolución),19.703859,-101.159371,2024-12-31,1735603200.0
3,31 dic 2024,MX,Morelia,Periférico Paseo de la República (Sector República),19.723629,-101.193583,2024-12-31,1735603200.0
4,31 dic 2024,MX,Morelia,Av. Francisco I. Madero Poniente,19.701929,-101.210593,2024-12-31,1735603200.0
5,31 dic 2024,MX,Morelia,Av. Morelos (N),19.713963,-101.188699,2024-12-31,1735603200.0
6,31 dic 2024,MX,Morelia,Av. Francisco I. Madero Poniente,19.702363,-101.205787,2024-12-31,1735603200.0
7,31 dic 2024,MX,Morelia,Av. Gral. Lázaro Cárdenas,19.695911,-101.190179,2024-12-31,1735603200.0
8,31 dic 2024,MX,Morelia,Juan Ortega y Montañes,19.698346,-101.187015,2024-12-31,1735603200.0
9,31 dic 2024,MX,Morelia,Periférico Paseo de la República (Sector Nueva España),19.688059,-101.159583,2024-12-31,1735603200.0
10,31 dic 2024,MX,Morelia,Periférico Paseo de la República (Sector Revolución),19.719118,-101.177619,2024-12-31,1735603200.0
11,31 dic 2024,MX,Morelia,Av. Michoacán,19.708339,-101.208642,2024-12-31,1735603200.0
12,31 dic 2024,MX,Morelia,Paseo de la República (Sector Revolución),19.711452,-101.167732,2024-12-31,1735603200.0
13,31 dic 2024,MX,Morelia,Av. Francisco I. Madero Oriente,19.728821,-101.137592,2024-12-31,1735603200.0
14,31 dic 2024,MX,Morelia,Aquiles Serdán,19.703822,-101.189671,2024-12-31,1735603200.0
15,31 dic 2024,MX,Morelia,Av. Michoacán,19.709527,-101.212987,2024-12-31,1735603200.0
16,31 dic 2024,MX,Morelia,Av. Francisco I. Madero Poniente,19.702091,-101.210068,2024-12-31,1735603200.0
17,31 dic 2024,MX,Morelia,Av. Fuentes de Morelia,19.672849,-101.20454,2024-12-31,1735603200.0
18,31 dic 2024,MX,Morelia,Av. Guadalupe Victoria,19.71,-101.197698,2024-12-31,1735603200.0
19,31 dic 2024,MX,Morelia,Quiroga,19.700308,-101.244225,2024-12-31,1735603200.0
