DayF,Accidents
2024-01-01,44
2024-01-02,98
2024-01-03,143
2024-01-04,218
2024-01-05,264
2024-01-06,302
2024-01-07,84
2024-01-08,192
2024-01-09,188
2024-01-10,171
2024-01-11,201
2024-01-12,263
2024-01-13,192
2024-01-14,96
2024-01-15,151
2024-01-16,182
2024-01-17,230
2024-01-18,200
2024-01-19,276
2024-01-20,266
2024-01-21,45
2024-01-22,188
2024-01-23,187
2024-01-24,149
2024-01-25,173
2024-01-26,188
2024-01-27,192
2024-01-28,53
2024-01-29,187
2024-01-30,200
2024-01-31,194
2024-02-01,162
2024-02-02,258
2024-02-03,248
2024-02-04,71
2024-02-05,55
2024-02-06,206
2024-02-07,330
2024-02-08,241
2024-02-09,304
2024-02-10,288
2024-02-11,118
2024-02-12,213
2024-02-13,183
2024-02-14,383
2024-02-15,209
2024-02-16,451
2024-02-17,255
2024-02-18,78
2024-02-19,221
2024-02-20,180
2024-02-21,187
2024-02-22,251
2024-02-23,281
2024-02-24,234
2024-02-25,93
2024-02-26,27
2024-02-29,192
2024-03-01,326
2024-03-02,191
2024-03-03,63
2024-03-04,149
2024-03-05,163
2024-03-06,188
2024-03-07,233
2024-03-08,271
2024-03-09,234
2024-03-10,67
2024-03-11,129
2024-03-12,181
2024-03-13,177
2024-03-14,219
2024-03-15,275
2024-03-16,218
2024-03-17,121
2024-03-18,54
2024-03-19,177
2024-03-20,154
2024-03-21,156
2024-03-22,261
2024-03-23,161
2024-03-24,65
2024-03-25,107
2024-03-26,77
2024-03-27,80
2024-03-28,75
2024-03-29,43
2024-03-30,97
2024-03-31,78
2024-04-01,96
2024-04-02,80
2024-04-03,90
2024-04-04,121
2024-04-05,175
2024-04-06,141
2024-04-07,51
2024-04-08,44
2024-04-09,204
2024-04-10,133
2024-04-11,138
2024-04-12,283
2024-04-13,149
2024-04-14,52
2024-04-15,150
2024-04-16,225
2024-04-17,207
2024-04-18,194
2024-04-19,220
2024-04-20,168
2024-04-21,65
2024-04-22,141
2024-04-23,170
2024-04-24,175
2024-04-25,163
2024-04-26,201
2024-04-27,140
2024-04-28,100
2024-04-29,172
2024-04-30,266
2024-05-01,73
2024-05-02,211
2024-05-03,233
2024-05-04,181
2024-05-05,51
2024-05-06,145
2024-05-07,130
2024-05-08,165
2024-05-09,218
2024-05-10,262
2024-05-11,144
2024-05-12,65
2024-05-13,178
2024-05-14,140
2024-05-15,161
2024-05-16,183
2024-05-17,217
2024-05-18,194
2024-05-19,63
2024-05-20,147
2024-05-21,148
2024-05-22,386
2024-05-23,163
2024-05-24,153
2024-05-25,153
2024-05-26,72
2024-05-27,142
2024-05-28,152
2024-05-29,136
2024-05-30,183
2024-05-31,163
2024-06-01,167
2024-06-02,59
2024-06-03,96
2024-06-04,218
2024-06-05,141
2024-06-06,168
2024-06-07,209
2024-06-08,179
2024-06-09,64
2024-06-10,124
2024-06-11,245
2024-06-12,252
2024-06-13,136
2024-06-14,268
2024-06-15,262
2024-06-16,123
2024-06-17,164
2024-06-18,185
2024-06-19,228
2024-06-20,346
2024-06-21,241
2024-06-22,186
2024-06-23,128
2024-06-24,156
2024-06-25,156
2024-06-26,137
2024-06-27,171
2024-06-28,198
2024-06-29,189
2024-06-30,96
2024-07-01,240
2024-07-02,191
2024-07-03,149
2024-07-04,206
2024-07-05,222
2024-07-06,188
2024-07-07,87
2024-07-08,179
2024-07-09,208
2024-07-10,314
2024-07-11,299
2024-07-12,209
2024-07-13,237
2024-07-14,152
2024-07-15,227
2024-07-16,219
2024-07-17,319
2024-07-18,317
2024-07-19,324
2024-07-20,342
2024-07-21,131
2024-07-22,208
2024-07-23,151
2024-07-24,167
2024-07-25,222
2024-07-26,172
2024-07-27,219
2024-07-28,203
2024-07-29,156
2024-07-30,172
2024-07-31,194
2024-08-01,218
2024-08-02,387
2024-08-03,300
2024-08-04,225
2024-08-05,280
2024-08-06,221
2024-08-07,183
2024-08-08,230
2024-08-09,211
2024-08-10,181
2024-08-11,123
2024-08-12,258
2024-08-13,197
2024-08-14,190
2024-08-15,252
2024-08-16,287
2024-08-17,271
2024-08-18,127
2024-08-19,359
2024-08-20,200
2024-08-21,143
2024-08-22,297
2024-08-23,340
2024-08-24,258
2024-08-25,146
2024-08-26,227
2024-08-27,223
2024-08-28,277
2024-08-29,263
2024-08-30,365
2024-08-31,362
2024-09-01,162
2024-09-02,293
2024-09-03,305
2024-09-04,261
2024-09-05,236
2024-09-06,358
2024-09-07,214
2024-09-08,161
2024-09-09,233
2024-09-10,237
2024-09-11,244
2024-09-12,256
2024-09-13,370
2024-09-14,412
2024-09-15,149
2024-09-16,109
2024-09-17,199
2024-09-18,258
2024-09-19,209
2024-09-20,292
2024-09-21,296
2024-09-22,121
2024-09-23,178
2024-09-24,330
2024-09-25,225
2024-09-26,404
2024-09-27,297
2024-09-28,304
2024-09-29,170
2024-09-30,175
2024-10-01,116
2024-10-02,233
2024-10-03,231
2024-10-04,264
2024-10-05,172
2024-10-06,90
2024-10-07,234
2024-10-08,257
2024-10-09,253
2024-10-10,182
2024-10-11,314
2024-10-12,270
2024-10-13,109
2024-10-14,249
2024-10-15,262
2024-10-16,300
2024-10-17,257
2024-10-18,367
2024-10-19,271
2024-10-20,107
2024-10-21,270
2024-10-22,232
2024-10-23,253
2024-10-24,233
2024-10-25,224
2024-10-26,259
2024-10-27,173
2024-10-28,265
2024-10-29,288
2024-10-30,263
2024-10-31,379
2024-11-01,452
2024-11-02,282
2024-11-03,157
2024-11-04,253
2024-11-05,207
2024-11-06,189
2024-11-07,163
2024-11-08,169
2024-11-09,137
2024-11-10,66
2024-11-11,213
2024-11-12,266
2024-11-13,251
2024-11-14,311
2024-11-15,404
2024-11-16,484
2024-11-17,158
2024-11-18,91
2024-11-19,347
2024-11-20,326
2024-11-21,396
2024-11-22,355
2024-11-23,298
2024-11-24,106
2024-11-25,194
2024-11-26,242
2024-11-27,256
2024-11-28,285
2024-11-29,346
2024-11-30,319
2024-12-01,148
2024-12-02,190
2024-12-03,281
2024-12-04,199
2024-12-05,340
2024-12-06,490
2024-12-07,321
2024-12-08,153
2024-12-09,294
2024-12-10,335
2024-12-11,306
2024-12-12,239
2024-12-13,426
2024-12-14,343
2024-12-15,195
2024-12-16,365
2024-12-17,341
2024-12-18,350
2024-12-19,230
2024-12-20,281
2024-12-21,360
2024-12-22,223
2024-12-23,327
2024-12-24,229
2024-12-25,86
2024-12-26,106
2024-12-27,184
2024-12-28,187
2024-12-29,129
2024-12-30,193
2024-12-31,201
