Day,Country,City,Street,Cause,Avg Length (Meters),Avg Delay (Seconds),Impacted Wazers
1 ene 2024,MX,Morelia,,HAZARD,741,539.2857142857143,35
2 ene 2024,MX,Morelia,Av. Francisco I. Madero Poniente,null,1211.8857142857144,669.6857142857143,375
2 ene 2024,MX,Morelia,Ing. Pascual Ortiz Rubio,null,775.25,362.5,11
2 ene 2024,MX,Morelia,MEX-15 / Morelia - Jiquilpan,null,1294.8974358974358,496,412
2 ene 2024,MX,Morelia,Av. Morelos (N),null,968.4444444444445,485.22222222222223,79
2 ene 2024,MX,Morelia,MEX-14 / Morelia - Pátzcuaro,null,611,395.875,46
2 ene 2024,MX,Morelia,Calz. la Huerta,null,904.1428571428571,143.57142857142858,87
2 ene 2024,MX,Morelia,Av. Gral. Lázaro Cárdenas,null,767.5,507.3,78
2 ene 2024,MX,Morelia,Av. Héroes de Nocupétaro,null,562,393,42
3 ene 2024,MX,Morelia,Av. Gral. Lázaro Cárdenas,null,922.2727272727273,597.030303030303,169
3 ene 2024,MX,Morelia,20 de Noviembre,null,750,469,38
3 ene 2024,MX,Morelia,Juan Ortega y Montañes,null,557,517,15
3 ene 2024,MX,Morelia,Periférico Paseo de la República (Sector Revolución),null,1183.671052631579,219.31578947368422,1190
3 ene 2024,MX,Morelia,Allende,null,811,769.125,44
3 ene 2024,MX,Morelia,Lateral Francisco I. Madero Ote.,null,539,536,5
3 ene 2024,MX,Morelia,Av. Morelos (N),null,816.2,614.4,57
3 ene 2024,MX,Morelia,Vicente Santa María,null,601.5714285714286,542.1428571428571,24
3 ene 2024,MX,Morelia,Av. Francisco I. Madero Poniente,null,750.1666666666666,477.21666666666664,423
3 ene 2024,MX,Morelia,MEX-15 / Morelia - Jiquilpan,HAZARD,1485,545,6
3 ene 2024,MX,Morelia,Virrey Antonio de Mendoza,null,940.7592592592592,636.2962962962963,384
3 ene 2024,MX,Morelia,MEX-15 / Morelia - Jiquilpan,null,1959,710.5,7
3 ene 2024,MX,Morelia,Abasolo,null,628.2222222222222,478.6111111111111,160
3 ene 2024,CO,Morelia,Vda. Frascate,null,530,916,4
3 ene 2024,MX,Morelia,Av. Pedregal,null,1096.5,473,8
3 ene 2024,MX,Morelia,Av. Francisco I. Madero Oriente,null,775.2926829268292,375.5853658536585,319
3 ene 2024,MX,Morelia,MICH-171 / Antigua Carretera a Pátzcuaro,null,1169,74,3
4 ene 2024,MX,Morelia,Vicente Santa María,null,543,540.25,12
4 ene 2024,MX,Morelia,Av. Morelos Sur,null,1017.6290322580645,566.4032258064516,479
4 ene 2024,MX,Morelia,Allende,null,937.5,628.5,24
4 ene 2024,MX,Morelia,Av. Guadalupe Victoria,HAZARD,683.8571428571429,635.9428571428572,186
4 ene 2024,MX,Morelia,Batallón de Matamoros,null,533,764,4
4 ene 2024,MX,Morelia,20 de Noviembre,null,697.2,568.8,32
4 ene 2024,MX,Morelia,Héroe de Nacozari,null,615,527,149
4 ene 2024,MX,Morelia,Aquiles Serdán,null,571.8,586.2,25
4 ene 2024,MX,Morelia,Av. Acueducto,null,747,692,8
4 ene 2024,MX,Morelia,Periférico Paseo de la República (Sector Nueva España),null,1231,464.09090909090907,197
4 ene 2024,MX,Morelia,Virrey Antonio de Mendoza,null,896.5373134328358,621.4328358208955,496
4 ene 2024,MX,Morelia,Av. Francisco I. Madero Oriente,null,727.8125,421.5625,217
4 ene 2024,MX,Morelia,Av. Gral. Lázaro Cárdenas,null,839,670.25,20
4 ene 2024,MX,Morelia,Periférico Paseo de la República (Sector Independencia),null,1469.1176470588234,354.6470588235294,115
4 ene 2024,MX,Morelia,Av. Michoacán,null,639.3333333333334,410.5,23
4 ene 2024,MX,Morelia,Av. Francisco I. Madero Poniente,null,985.8548387096774,575.6290322580645,686
4 ene 2024,MX,Morelia,Av. Guadalupe Victoria,null,509,217,3
4 ene 2024,MX,Morelia,Periférico Paseo de la República (Sector Revolución),null,1071.3333333333333,282.4166666666667,306
4 ene 2024,MX,Morelia,Av. Morelos (N),null,799,389.25,44
4 ene 2024,MX,Morelia,Periférico Paseo de la República (Sector Independencia),ACCIDENT,2062.6363636363635,499.6363636363636,100
4 ene 2024,MX,Morelia,Av. Héroes de Nocupétaro,null,586.4,444.6,44
4 ene 2024,MX,Morelia,Juan Ortega y Montañes,null,598.6,624.2,42
4 ene 2024,MX,Morelia,Periférico Paseo de la República (Sector Revolución),ACCIDENT,1239.25,670.9,1292
4 ene 2024,MX,Morelia,Paseo de la República (Sector República),null,917.6666666666666,279.1666666666667,28
5 ene 2024,MX,Morelia,Abasolo,null,577.5555555555555,750.2222222222222,58
5 ene 2024,MX,Morelia,Guillermo Prieto,HAZARD,743.8,588.2,40
5 ene 2024,MX,Morelia,Av. Francisco I. Madero Oriente,null,1557.0833333333333,544.25,123
5 ene 2024,MX,Morelia,Av. Francisco I. Madero Oriente,ACCIDENT,1943.5,385.2857142857143,137
5 ene 2024,MX,Morelia,Corregidora,null,1124.5555555555557,486.1111111111111,47
