Day,Cause,id
1 ene 2024,HAZARD,1
3 ene 2024,HAZARD,2
4 ene 2024,HAZARD,4
4 ene 2024,ACCIDENT,5
5 ene 2024,HAZARD,4
6 ene 2024,HAZARD,6
6 ene 2024,ACCIDENT,1
7 ene 2024,HAZARD,1
8 ene 2024,HAZARD,3
8 ene 2024,ACCIDENT,2
9 ene 2024,HAZARD,1
10 ene 2024,ACCIDENT,1
11 ene 2024,ACCIDENT,3
11 ene 2024,HAZARD,3
12 ene 2024,ACCIDENT,2
12 ene 2024,HAZARD,1
13 ene 2024,HAZARD,1
13 ene 2024,ACCIDENT,1
15 ene 2024,ACCIDENT,3
17 ene 2024,ACCIDENT,1
19 ene 2024,HAZARD,6
20 ene 2024,HAZARD,3
24 ene 2024,HAZARD,3
25 ene 2024,HAZARD,2
26 ene 2024,ACCIDENT,1
27 ene 2024,ACCIDENT,2
29 ene 2024,HAZARD,1
30 ene 2024,HAZARD,2
30 ene 2024,ACCIDENT,2
31 ene 2024,ACCIDENT,4
2 feb 2024,ACCIDENT,1
2 feb 2024,HAZARD,1
4 feb 2024,ACCIDENT,1
6 feb 2024,HAZARD,1
7 feb 2024,HAZARD,2
8 feb 2024,HAZARD,6
8 feb 2024,ACCIDENT,1
9 feb 2024,ACCIDENT,3
9 feb 2024,HAZARD,8
12 feb 2024,HAZARD,1
13 feb 2024,HAZARD,1
14 feb 2024,HAZARD,5
15 feb 2024,ACCIDENT,1
15 feb 2024,HAZARD,1
16 feb 2024,HAZARD,5
17 feb 2024,ACCIDENT,1
17 feb 2024,HAZARD,2
19 feb 2024,HAZARD,5
20 feb 2024,ACCIDENT,1
20 feb 2024,HAZARD,2
21 feb 2024,HAZARD,1
22 feb 2024,ACCIDENT,1
22 feb 2024,HAZARD,2
23 feb 2024,HAZARD,1
24 feb 2024,ACCIDENT,2
24 feb 2024,HAZARD,1
29 feb 2024,ACCIDENT,1
1 mar 2024,ACCIDENT,2
1 mar 2024,HAZARD,2
2 mar 2024,ACCIDENT,1
4 mar 2024,ACCIDENT,2
6 mar 2024,HAZARD,4
7 mar 2024,HAZARD,2
7 mar 2024,ACCIDENT,1
9 mar 2024,HAZARD,1
10 mar 2024,ACCIDENT,1
13 mar 2024,HAZARD,1
14 mar 2024,ACCIDENT,2
14 mar 2024,HAZARD,2
