Date,Country,City,Street,Location,Avg Reliability
31 dic 2024,MX,Morelia,Aquiles Serdán,Point(-101.189788 19.703822),6
31 dic 2024,MX,Morelia,null,Point(-101.193368 19.723927),5
31 dic 2024,MX,Morelia,Periférico Paseo de la República (Sector Revolución),Point(-101.159371 19.703859),5
31 dic 2024,MX,Morelia,Periférico Paseo de la República (Sector República),Point(-101.193583 19.723629),6
31 dic 2024,MX,Morelia,Av. Francisco I. Madero Poniente,Point(-101.210593 19.701929),8
31 dic 2024,MX,Morelia,Av. Morelos (N),Point(-101.188699 19.713963),5
31 dic 2024,MX,Morelia,Av. Francisco I. Madero Poniente,Point(-101.205787 19.702363),5
31 dic 2024,MX,Morelia,Av. Gral. Lázaro Cárdenas,Point(-101.190179 19.695911),5
31 dic 2024,MX,Morelia,Juan Ortega y Montañes,Point(-101.187015 19.698346),5
31 dic 2024,MX,Morelia,Periférico Paseo de la República (Sector Nueva España),Point(-101.159583 19.688059),5
31 dic 2024,MX,Morelia,Periférico Paseo de la República (Sector Revolución),Point(-101.177619 19.719118),5
31 dic 2024,MX,Morelia,Av. Michoacán,Point(-101.208642 19.708339),5
31 dic 2024,MX,Morelia,Paseo de la República (Sector Revolución),Point(-101.167732 19.711452),5
31 dic 2024,MX,Morelia,Av. Francisco I. Madero Oriente,Point(-101.137592 19.728821),5
31 dic 2024,MX,Morelia,Aquiles Serdán,Point(-101.189671 19.703822),5
31 dic 2024,MX,Morelia,Av. Michoacán,Point(-101.212987 19.709527),5
31 dic 2024,MX,Morelia,Av. Francisco I. Madero Poniente,Point(-101.210068 19.702091),5
31 dic 2024,MX,Morelia,Av. Fuentes de Morelia,Point(-101.20454 19.672849),5
31 dic 2024,MX,Morelia,Av. Guadalupe Victoria,Point(-101.197698 19.71),5
31 dic 2024,MX,Morelia,Quiroga,Point(-101.244225 19.700308),5
31 dic 2024,MX,Morelia,Virrey Antonio de Mendoza,Point(-101.190419 19.699446),5
31 dic 2024,MX,Morelia,Ramal Camelinas,Point(-101.155594 19.668918),5
31 dic 2024,MX,Morelia,Av. Michoacán,Point(-101.211374 19.708906),5
31 dic 2024,MX,Morelia,Av. Morelos (N),Point(-101.18886 19.714524),10
31 dic 2024,MX,Morelia,Av. Francisco I. Madero Poniente,Point(-101.241491 19.700833),5
31 dic 2024,MX,Morelia,Av. Francisco I. Madero Oriente,Point(-101.176917 19.705219),7
31 dic 2024,MX,Morelia,Av. Solidaridad,Point(-101.192512 19.691533),5
31 dic 2024,MX,Morelia,Av. Francisco I. Madero Oriente,Point(-101.175262 19.705993),10
31 dic 2024,MX,Morelia,Av. Francisco I. Madero Poniente,Point(-101.226406 19.704336),5
31 dic 2024,MX,Morelia,Periférico Paseo de la República (Sector Nueva España),Point(-101.183594 19.681181),10
31 dic 2024,MX,Morelia,Av. Guadalupe Victoria,Point(-101.196906 19.718381),5
31 dic 2024,MX,Morelia,Paseo de la República (Sector Independencia),Point(-101.242895 19.699531),5
31 dic 2024,MX,Morelia,Periférico Paseo de la República (Sector Independencia),Point(-101.243013 19.699591),10
31 dic 2024,MX,Morelia,Av. Pedregal,Point(-101.21592 19.716475),5
31 dic 2024,MX,Morelia,Profesor Rafael Ramírez,Point(-101.177117 19.733124),5
31 dic 2024,MX,Morelia,Luis Mora Tovar,Point(-101.164255 19.717247),5
31 dic 2024,MX,Morelia,Periférico Paseo de la República (Sector Revolución),Point(-101.16309 19.706866),10
31 dic 2024,MX,Morelia,Av. Enrique Ramírez,Point(-101.159623 19.692389),5
31 dic 2024,MX,Morelia,Calz. la Huerta,Point(-101.215078 19.686058),5
31 dic 2024,MX,Morelia,Juan Ruíz de Alarcón,Point(-101.187483 19.697392),5
31 dic 2024,MX,Morelia,Av. Periodismo,Point(-101.217245 19.697877),5
31 dic 2024,MX,Morelia,Calz. la Huerta,Point(-101.223578 19.668),5
31 dic 2024,MX,Morelia,Av. Cerro del Quinceo,Point(-101.197711 19.719231),5
31 dic 2024,MX,Morelia,Calz. la Huerta,Point(-101.217759 19.68058),10
31 dic 2024,MX,Morelia,Azucena,Point(-101.200948 19.712575),5
31 dic 2024,MX,Morelia,null,Point(-101.15962 19.691355),5
31 dic 2024,MX,Morelia,Benedicto López,Point(-101.193318 19.696107),5
31 dic 2024,MX,Morelia,Periférico Paseo de la República (Sector Independencia),Point(-101.210808 19.672486),8
31 dic 2024,MX,Morelia,Av. Fuentes de Morelia,Point(-101.203729 19.67084),5
31 dic 2024,MX,Morelia,Alejandro Volta,Point(-101.179788 19.684731),10
31 dic 2024,MX,Morelia,Av. Morelos Norte,Point(-101.188215 19.711182),5
31 dic 2024,MX,Morelia,Aquiles Serdán,Point(-101.188131 19.703804),5
31 dic 2024,MX,Morelia,Paseo de los Viñedos,Point(-101.23718 19.668083),5
31 dic 2024,MX,Morelia,Periférico Paseo de la República (Sector Revolución),Point(-101.181183 19.719716),8
31 dic 2024,MX,Morelia,Av. Manuel Buendía,Point(-101.18729 19.711075),5
31 dic 2024,MX,Morelia,Paseo de la República (Sector República),Point(-101.236448 19.70792),5
31 dic 2024,MX,Morelia,Manuel Muñiz,Point(-101.200208 19.698389),10
31 dic 2024,MX,Morelia,Periférico Paseo de la República (Sector Independencia),Point(-101.20258 19.675932),5
31 dic 2024,MX,Morelia,Andrés Quintana Roo,Point(-101.196863 19.701784),5
31 dic 2024,MX,Morelia,Av. Francisco I. Madero Poniente,Point(-101.213726 19.702547),5
31 dic 2024,MX,Morelia,Bosque de Ciruelos,Point(-101.103814 19.724344),5
31 dic 2024,MX,Morelia,Paseo de la República (Sector República),Point(-101.221559 19.72769),5
31 dic 2024,MX,Morelia,Av. Gral. Lázaro Cárdenas,Point(-101.1884 19.69587),5
31 dic 2024,MX,Morelia,Av. Morelos Sur,Point(-101.19178 19.692976),5
31 dic 2024,MX,Morelia,Periférico Paseo de la República (Sector Nueva España),Point(-101.163481 19.685972),6
